nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Starting Training:
>1, dA[1.409,1.075] dB[0.894,1.329] g[19.479,20.837] s_elaps=88
>2, dA[3.163,2.160] dB[4.607,1.212] g[20.985,21.200] s_elaps=103
>3, dA[5.390,1.498] dB[5.595,1.122] g[18.598,18.690] s_elaps=118
>4, dA[5.054,0.817] dB[4.962,2.165] g[19.487,18.014] s_elaps=134
>5, dA[2.347,0.684] dB[1.401,2.773] g[16.589,16.470] s_elaps=150
>6, dA[0.835,0.517] dB[0.846,1.770] g[17.769,15.110] s_elaps=166
>7, dA[0.772,0.437] dB[0.751,0.858] g[16.459,16.323] s_elaps=182
>8, dA[0.544,0.479] dB[0.534,0.549] g[14.032,14.341] s_elaps=199
>9, dA[0.563,0.467] dB[0.425,0.382] g[13.576,14.165] s_elaps=215
>10, dA[0.482,0.452] dB[0.397,0.366] g[12.990,13.338] s_elaps=231
>11, dA[0.517,0.359] dB[0.363,0.356] g[13.381,13.985] s_elaps=248
>12, dA[0.408,0.428] dB[0.373,0.344] g[13.477,13.731] s_elaps=264
>13, dA[0.442,0.539] dB[0.369,0.312] g[13.694,14.146] s_elaps=280
>14, dA[0.585,0.518] dB[0.330,0.302] g[12.312,13.679] s_elaps=296
>15, dA[0.585,0.455] dB[0.327,0.308] g[12.339,13.136] s_elaps=312
>16, dA[0.415,0.404] dB[0.338,0.290] g[12.846,13.370] s_elaps=329
>17, dA[0.354,0.330] dB[0.323,0.260] g[12.045,12.473] s_elaps=345
>18, dA[0.301,0.330] dB[0.311,0.244] g[12.515,12.757] s_elaps=361
>19, dA[0.302,0.328] dB[0.303,0.267] g[11.502,11.823] s_elaps=377
>20, dA[0.360,0.280] dB[0.323,0.269] g[12.289,12.715] s_elaps=393
>21, dA[0.276,0.200] dB[0.291,0.265] g[11.973,11.914] s_elaps=410
>22, dA[0.237,0.198] dB[0.317,0.245] g[12.169,12.137] s_elaps=426
>23, dA[0.253,0.193] dB[0.328,0.265] g[12.543,12.545] s_elaps=442
>24, dA[0.250,0.154] dB[0.299,0.233] g[11.276,11.280] s_elaps=458
>25, dA[0.247,0.190] dB[0.295,0.244] g[11.404,11.352] s_elaps=474
>26, dA[0.250,0.177] dB[0.264,0.309] g[11.801,11.698] s_elaps=491
>27, dA[0.283,0.228] dB[0.357,0.225] g[11.706,11.605] s_elaps=507
>28, dA[0.269,0.182] dB[0.388,0.202] g[11.398,11.359] s_elaps=523
>29, dA[0.317,0.172] dB[0.188,0.193] g[11.119,11.509] s_elaps=539
>30, dA[0.205,0.280] dB[0.308,0.171] g[12.508,12.182] s_elaps=555
>31, dA[0.370,0.171] dB[0.291,0.199] g[12.102,12.491] s_elaps=571
>32, dA[0.296,0.325] dB[0.228,0.197] g[11.768,11.836] s_elaps=588
>33, dA[0.385,0.205] dB[0.269,0.179] g[12.253,12.591] s_elaps=604
>34, dA[0.334,0.214] dB[0.268,0.255] g[11.981,11.876] s_elaps=620
>35, dA[0.261,0.130] dB[0.307,0.202] g[11.736,11.655] s_elaps=636
>36, dA[0.172,0.129] dB[0.245,0.179] g[11.664,11.560] s_elaps=652
>37, dA[0.185,0.106] dB[0.257,0.168] g[11.559,11.545] s_elaps=668
